title,company,location,url,experience,salary,description,source,scrape_date,job_type,keywords
Executive - Assurance - NAT - ASU - AUDIT - ACCOUNTING - Mumbai,EY,Mumbai,https://www.naukri.com/job-listings-executive-assurance-nat-asu-audit-accounting-mumbai-ernst-young-mumbai-0-to-3-years-240425501790,,,No Description Available,Naukri,2025-04-27,Full Time,
US Accounts/Finance Executive,Pragma Edge Software Services,"Bengaluru, India",https://www.naukri.com/job-listings-us-accounts-finance-executive-pragma-edge-software-services-bengaluru-india-0-to-1-years-270125018997,,,No Description Available,Naukri,2025-04-27,Full Time,
Hiring Accountant,Oxygent Consulting Services,"Guwahati, Panipat, Jalandhar, Haridwar, Bhubaneswar, Cuttack, Dehradun, Dhanbad, Amritsar",https://www.naukri.com/job-listings-hiring-accountant-oxygent-consulting-services-guwahati-panipat-jalandhar-haridwar-bhubaneswar-cuttack-dehradun-dhanbad-amritsar-1-to-6-years-090425004869,,,No Description Available,Naukri,2025-04-27,Full Time,
Account Executive/Article Assistant For a CA Firm in south Delhi,CA Firm,"New Delhi, Delhi / NCR",https://www.naukri.com/job-listings-account-executive-article-assistant-for-a-ca-firm-in-south-delhi-logical-outsourcing-services-new-delhi-delhi-ncr-0-to-4-years-010425008707,,,No Description Available,Naukri,2025-04-27,Full Time,
Account Executive - BFSI,Wipro,Mumbai,https://www.naukri.com/job-listings-account-executive-bfsi-wipro-limited-mumbai-0-to-5-years-250425916158,,,No Description Available,Naukri,2025-04-27,Full Time,
Accounts Executive,Osam Dairy,Lohardaga,https://www.naukri.com/job-listings-accounts-executive-osam-dairy-lohardaga-0-to-3-years-080325008875,,,No Description Available,Naukri,2025-04-27,Full Time,
Senior Executive Finance & Accounts,Financial and Accounting Services company,Remote,https://www.naukri.com/job-listings-senior-executive-finance-accounts-honeybeez-consultancy-pune-0-to-2-years-220425019549,,,No Description Available,Naukri,2025-04-27,Full Time,
"Executive - Finance and Accounts (P2P, O2C); OFF ROLL",Zetwerk,Bengaluru,https://www.naukri.com/job-listings-executive-finance-and-accounts-p2p-o2c-off-roll-zetwerk-bengaluru-1-to-4-years-100425008690,,,No Description Available,Naukri,2025-04-27,Full Time,
Teller,Indusind Bank,Sibsagar,https://www.naukri.com/job-listings-teller-indusind-bank-limited-sibsagar-0-to-4-years-020425918265,,,No Description Available,Naukri,2025-04-27,Full Time,
Account Executive,Mayom Hospital,Gurugram,https://www.naukri.com/job-listings-account-executive-mayom-hospital-gurugram-0-to-1-years-210425018964,,,No Description Available,Naukri,2025-04-27,Full Time,
